Reference, Value, Footprint, Datasheet
C15,0.1uF,Capacitor_SMD:C_0805_2012Metric,~
C17,0.1uF,Capacitor_SMD:C_0805_2012Metric,~
C19,0.1uF,Capacitor_SMD:C_0805_2012Metric,~
C12,100n,Capacitor_SMD:C_0805_2012Metric,~
C13,100n,Capacitor_SMD:C_0805_2012Metric,~
C14,100n,Capacitor_SMD:C_0805_2012Metric,~
C18,100n,Capacitor_SMD:C_0805_2012Metric,~
C2,100n,Capacitor_SMD:C_0805_2012Metric,~
C20,100n,Capacitor_SMD:C_0805_2012Metric,~
C22,100n,Capacitor_SMD:C_0805_2012Metric,~
C24,100n,Capacitor_SMD:C_0805_2012Metric,~
C3,100n,Capacitor_SMD:C_0805_2012Metric,~
C7,100n,Capacitor_SMD:C_0805_2012Metric,~
C8,100n,Capacitor_SMD:C_0805_2012Metric,~
C16,10uF,Capacitor_SMD:C_0805_2012Metric,~
C5,10uF,Capacitor_SMD:C_0805_2012Metric,~
C6,10uF,Capacitor_SMD:C_0805_2012Metric,~
C10,22pF,Capacitor_SMD:C_0805_2012Metric,~
C9,22pF,Capacitor_SMD:C_0805_2012Metric,~
C1,470uF,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,~
C4,470uF,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,~
J4,Conn_01x04_Male,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,~
J6,Conn_01x04_Male,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,~
J8,Conn_01x04_Male,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,~
J1,Conn_02x04_Odd_Even,Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical,~
J5,Conn_02x04_Odd_Even,Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical,~
J2,TRS80W-header,Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical,
J3,TRS80W-header,Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical,
J7,USB_B_Micro,Connector_USB:USB_Micro-B_Molex-105017-0001,~
Y1,32768,Crystal:Crystal_AT310_D3.0mm_L10.0mm_Horizontal,~
Y2,16M,Crystal:Crystal_HC49-U_Vertical,~
D1,LED,LED_THT:LED_D3.0mm,~
D2,LED2,LED_THT:LED_D3.0mm,~
M1,3mm-mounting-hole,MountingHole:MountingHole_3.2mm_M3_DIN965,
