Reference, Value, Footprint, Datasheet
SW1,NMI,Button_Switch_THT:SW_PUSH_6mm,~
SW2,RESET,Button_Switch_THT:SW_PUSH_6mm,~
C10,100n,Capacitor_SMD:C_0805_2012Metric,~
C11,100n,Capacitor_SMD:C_0805_2012Metric,~
C12,100n,Capacitor_SMD:C_0805_2012Metric,~
C13,100n,Capacitor_SMD:C_0805_2012Metric,~
C14,100n,Capacitor_SMD:C_0805_2012Metric,~
C15,100n,Capacitor_SMD:C_0805_2012Metric,~
C16,100n,Capacitor_SMD:C_0805_2012Metric,~
C17,100n,Capacitor_SMD:C_0805_2012Metric,~
C18,100n,Capacitor_SMD:C_0805_2012Metric,~
C19,100n,Capacitor_SMD:C_0805_2012Metric,~
C20,100n,Capacitor_SMD:C_0805_2012Metric,~
C21,100n,Capacitor_SMD:C_0805_2012Metric,~
C23,100n,Capacitor_SMD:C_0805_2012Metric,~
C4,100n,Capacitor_SMD:C_0805_2012Metric,~
C5,100n,Capacitor_SMD:C_0805_2012Metric,~
C6,100n,Capacitor_SMD:C_0805_2012Metric,~
C7,100n,Capacitor_SMD:C_0805_2012Metric,~
C9,100n,Capacitor_SMD:C_0805_2012Metric,~
C2,2u2,Capacitor_SMD:C_0805_2012Metric,~
C1,4u7,Capacitor_SMD:C_0805_2012Metric,~
C3,470uF,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,~
C8,470uF,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,~
J5,Conn_01x13_Female,Connector_PinHeader_2.54mm:PinHeader_1x13_P2.54mm_Vertical,~
J1,Conn_02x04_Odd_Even,Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical,~
J2,Conn_02x04_Odd_Even,Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical,~
J3,TRS80W-header,Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical,
J4,TRS80W-header,Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical,
Y1,32768Hz,Crystal:Crystal_AT310_D3.0mm_L10.0mm_Horizontal,~
D6,EXMEM,LED_THT:LED_D3.0mm_FlatTop,~
D1,HALT,LED_THT:LED_D3.0mm_FlatTop,~
D7,INUSE,LED_THT:LED_D3.0mm_FlatTop,~
D3,MM,LED_THT:LED_D3.0mm_FlatTop,~
D4,NMI,LED_THT:LED_D3.0mm_FlatTop,~
D2,PWR,LED_THT:LED_D3.0mm_FlatTop,~
D9,RAM,LED_THT:LED_D3.0mm_FlatTop,~
D5,RESET,LED_THT:LED_D3.0mm_FlatTop,~
D10,ROM,LED_THT:LED_D3.0mm_FlatTop,~
D8,S6,LED_THT:LED_D3.0mm_FlatTop,~
M1,3mm-mounting-hole,MountingHole:MountingHole_3.2mm_M3_DIN965,
M2,3mm-mounting-hole,MountingHole:MountingHole_3.2mm_M3_DIN965,
M3,3mm-mounting-hole,MountingHole:MountingHole_3.2mm_M3_DIN965,
M4,3mm-mounting-hole,MountingHole:MountingHole_3.2mm_M3_DIN965,
X1,CXO_DIP8,Oscillator:Oscillator_DIP-8,http://cdn-reichelt.de/documents/datenblatt/B400/OSZI.pdf
U1,74LS132,Package_DIP:DIP-14_W7.62mm_Socket,http://www.ti.com/lit/gpn/sn74LS132
U10,74LS32,Package_DIP:DIP-14_W7.62mm_Socket,http://www.ti.com/lit/gpn/sn74LS32
U6,74LS32,Package_DIP:DIP-14_W7.62mm_Socket,http://www.ti.com/lit/gpn/sn74LS32
U3,74HC670,Package_DIP:DIP-16_W7.62mm_Socket,
U4,74HC670,Package_DIP:DIP-16_W7.62mm_Socket,
U8,DS1315,Package_DIP:DIP-16_W7.62mm_Socket,
U14,74HC244,Package_DIP:DIP-20_W7.62mm_Socket,https://assets.nexperia.com/documents/data-sheet/74HC_HCT244.pdf
U15,74HC244,Package_DIP:DIP-20_W7.62mm_Socket,https://assets.nexperia.com/documents/data-sheet/74HC_HCT244.pdf
U16,74HC244,Package_DIP:DIP-20_W7.62mm_Socket,https://assets.nexperia.com/documents/data-sheet/74HC_HCT244.pdf
U13,74HC245,Package_DIP:DIP-20_W7.62mm_Socket,http://www.ti.com/lit/gpn/sn74HC245
U5,ATF22V10C,Package_DIP:DIP-24_W7.62mm_Socket,https://ww1.microchip.com/downloads/en/DeviceDoc/doc0735.pdf
U12,AS6C4008,Package_DIP:DIP-32_W15.24mm_Socket,https://www.mouser.com/datasheet/2/12/AS6C4008-1265427.pdf
U11,SST39SF040,Package_DIP:DIP-32_W15.24mm_Socket,https://www.mouser.com/datasheet/2/268/39%20Series_MPF_MPF__Product%20Brief-373259.pdf
U2,Z80CPU,Package_DIP:DIP-40_W15.24mm_Socket,www.zilog.com/manage_directlink.php?filepath=docs/z80/um0080
R1,10,Resistor_SMD:R_0805_2012Metric,~
R2,10,Resistor_SMD:R_0805_2012Metric,~
R14,1K,Resistor_SMD:R_0805_2012Metric,~
R15,1K,Resistor_SMD:R_0805_2012Metric,~
R16,1K,Resistor_SMD:R_0805_2012Metric,~
R17,1K,Resistor_SMD:R_0805_2012Metric,~
R18,1K,Resistor_SMD:R_0805_2012Metric,~
R19,1K,Resistor_SMD:R_0805_2012Metric,~
R20,1K,Resistor_SMD:R_0805_2012Metric,~
R21,1K,Resistor_SMD:R_0805_2012Metric,~
R8,1K,Resistor_SMD:R_0805_2012Metric,~
R9,1K,Resistor_SMD:R_0805_2012Metric,~
R10,4k7,Resistor_SMD:R_0805_2012Metric,~
R11,4k7,Resistor_SMD:R_0805_2012Metric,~
R12,4k7,Resistor_SMD:R_0805_2012Metric,~
R13,4k7,Resistor_SMD:R_0805_2012Metric,~
R3,4k7,Resistor_SMD:R_0805_2012Metric,~
R4,4k7,Resistor_SMD:R_0805_2012Metric,~
R5,4k7,Resistor_SMD:R_0805_2012Metric,~
R6,4k7,Resistor_SMD:R_0805_2012Metric,~
R7,4k7,Resistor_SMD:R_0805_2012Metric,~
RN1,4k7,Resistor_THT:R_Array_SIP9,http://www.vishay.com/docs/31509/csc.pdf
BT1,3V,wilson-z80:BS-01-A4CJ004,~
U7,HPDL1414,wilson-z80:DIP-24_W15.24mm_Socket,
