Reference, Value, Footprint, Datasheet, Mouser
C10,100n,Capacitor_SMD:C_0805_2012Metric,~,
C11,100n,Capacitor_SMD:C_0805_2012Metric,~,
C16,100n,Capacitor_SMD:C_0805_2012Metric,~,
C17,100n,Capacitor_SMD:C_0805_2012Metric,~,
C18,100n,Capacitor_SMD:C_0805_2012Metric,~,
C19,100n,Capacitor_SMD:C_0805_2012Metric,~,
C2,100n,Capacitor_SMD:C_0805_2012Metric,~,
C20,100n,Capacitor_SMD:C_0805_2012Metric,~,
C21,100n,Capacitor_SMD:C_0805_2012Metric,~,
C22,100n,Capacitor_SMD:C_0805_2012Metric,~,
C23,100n,Capacitor_SMD:C_0805_2012Metric,~,
C24,100n,Capacitor_SMD:C_0805_2012Metric,~,
C25,100n,Capacitor_SMD:C_0805_2012Metric,~,
C26,100n,Capacitor_SMD:C_0805_2012Metric,~,
C27,100n,Capacitor_SMD:C_0805_2012Metric,~,
C28,100n,Capacitor_SMD:C_0805_2012Metric,~,
C29,100n,Capacitor_SMD:C_0805_2012Metric,~,
C3,100n,Capacitor_SMD:C_0805_2012Metric,~,
C30,100n,Capacitor_SMD:C_0805_2012Metric,~,
C31,100n,Capacitor_SMD:C_0805_2012Metric,~,
C32,100n,Capacitor_SMD:C_0805_2012Metric,~,
C33,100n,Capacitor_SMD:C_0805_2012Metric,~,
C34,100n,Capacitor_SMD:C_0805_2012Metric,~,
C35,100n,Capacitor_SMD:C_0805_2012Metric,~,
C36,100n,Capacitor_SMD:C_0805_2012Metric,~,
C37,100n,Capacitor_SMD:C_0805_2012Metric,~,
C38,100n,Capacitor_SMD:C_0805_2012Metric,~,
C39,100n,Capacitor_SMD:C_0805_2012Metric,~,
C40,100n,Capacitor_SMD:C_0805_2012Metric,~,
C41,100n,Capacitor_SMD:C_0805_2012Metric,~,
C42,100n,Capacitor_SMD:C_0805_2012Metric,~,
C43,100n,Capacitor_SMD:C_0805_2012Metric,~,
C6,100n,Capacitor_SMD:C_0805_2012Metric,~,
C7,100n,Capacitor_SMD:C_0805_2012Metric,~,
C8,100n,Capacitor_SMD:C_0805_2012Metric,~,
C9,150nF,Capacitor_SMD:C_0805_2012Metric,~,
C12,15pF,Capacitor_SMD:C_0805_2012Metric,~,
C13,15pF,Capacitor_SMD:C_0805_2012Metric,~,
C14,15pF,Capacitor_SMD:C_0805_2012Metric,~,
C15,200p,Capacitor_SMD:C_0805_2012Metric,~,
C5,33uF,Capacitor_SMD:C_0805_2012Metric,~,
C44,60pF,Capacitor_THT:C_Rect_L7.0mm_W6.0mm_P5.00mm,~,
C1,470uF,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,~,
C4,470uF,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,~,
JP1,SIDE,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~,
JP2,TEST,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~,
J1,Conn_02x04_Odd_Even,Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical,~,
J4,Conn_02x04_Odd_Even,Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical,~,
J5,Conn_01x16_Male,Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical,~,
J2,Floppy-header,Connector_PinHeader_2.54mm:PinHeader_2x17_P2.54mm_Vertical,,
J3,TRS80W-header,Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical,,
D1,DIODE,Diode_SMD:D_0805_2012Metric,~,
D6,D0,LED_THT:LED_D3.0mm,~,
D7,D1,LED_THT:LED_D3.0mm,~,
D8,D2,LED_THT:LED_D3.0mm,~,
D9,D3,LED_THT:LED_D3.0mm,~,
D4,DDEN,LED_THT:LED_D3.0mm,~,
D10,MOTOR,LED_THT:LED_D3.0mm,~,
D5,PRE,LED_THT:LED_D3.0mm,~,
D11,SIDE1,LED_THT:LED_D3.0mm,~,
D3,WD1771,LED_THT:LED_D3.0mm,~,
D2,WD2793,LED_THT:LED_D3.0mm,~,
M1,3mm-mounting-hole,MountingHole:MountingHole_3.2mm_M3_DIN965,,
M2,3mm-mounting-hole,MountingHole:MountingHole_3.2mm_M3_DIN965,,
M3,3mm-mounting-hole,MountingHole:MountingHole_3.2mm_M3_DIN965,,
M4,3mm-mounting-hole,MountingHole:MountingHole_3.2mm_M3_DIN965,,
X1,CXO_DIP8,Oscillator:Oscillator_DIP-8,http://cdn-reichelt.de/documents/datenblatt/B400/OSZI.pdf,815-ACH-4-EK 
U22,ATF22V10C,Package_DIP:DIP-24_W7.62mm_Socket,,
U5,WD1771,Package_DIP:DIP-40_W15.24mm_Socket,,
U16,WD2793,Package_DIP:DIP-40_W15.24mm_Socket,,
U3,74LS123,Package_SO:SO-16_5.3x10.2mm_P1.27mm,http://www.ti.com/lit/gpn/sn74LS123,595-SN74LS123NSR
U23,74LS244,Package_SO:SO-20_5.3x12.6mm_P1.27mm,http://www.ti.com/lit/ds/symlink/sn74ls244.pdf,595-SN74HCT244NSR 
U17,74LS245,Package_SO:SO-20_5.3x12.6mm_P1.27mm,http://www.ti.com/lit/gpn/sn74LS245,595-SN74LS245NS 
U24,74LS273,Package_SO:SO-20_5.3x12.6mm_P1.27mm,http://www.ti.com/lit/gpn/sn74LS273,595-SN74LS273NSR 
U6,74LS640,Package_SO:SO-20_5.3x12.6mm_P1.27mm,http://www.ti.com/lit/gpn/sn74LS245,595-SN74LS640NSR 
U12,74LS00,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,http://www.ti.com/lit/gpn/sn74ls00,595-SN74HCT00DE4 
U18,74LS00,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,http://www.ti.com/lit/gpn/sn74ls00,595-SN74HCT00DE4 
U25,74LS00,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,http://www.ti.com/lit/gpn/sn74ls00,595-SN74HCT00DE4 
U30,74LS00,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,http://www.ti.com/lit/gpn/sn74ls00,595-SN74HCT00DE4 
U13,74LS02,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,http://www.ti.com/lit/gpn/sn74ls02,595-SN74HCT02DR 
U19,74LS02,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,http://www.ti.com/lit/gpn/sn74ls02,595-SN74HCT02DR 
U1,74LS06,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,http://www.ti.com/lit/gpn/sn74LS06,595-SN74LS06D 
U4,74LS06,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,http://www.ti.com/lit/gpn/sn74LS06,595-SN74LS06D 
U11,74LS32,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,http://www.ti.com/lit/gpn/sn74LS32,595-SN74HCT32D
U20,74LS32,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,http://www.ti.com/lit/gpn/sn74LS32,595-SN74HCT32D
U26,74LS32,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,74xx/74hc_hct74.pdf,595-SN74HCT32D
U14,74LS74,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,74xx/74hc_hct74.pdf,863-MC74HCT74ADR2G 
U15,74LS74,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,74xx/74hc_hct74.pdf,863-MC74HCT74ADR2G 
U21,74LS74,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,74xx/74hc_hct74.pdf,863-MC74HCT74ADR2G 
