Reference, Value, Footprint, Datasheet
SW33,0,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW34,1,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW35,2,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW36,3,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW37,4,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW38,5,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW39,6,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW40,7,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW41,8,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW42,9,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW43,*,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW48,?,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW1,@,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW44,+,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW45,<,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW46,=,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW47,>,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW2,A,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW3,B,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW51,Break,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW4,C,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW50,Clear,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW59,Control,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW5,D,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW53,Down,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW6,E,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW7,F,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW8,G,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW9,H,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW10,I,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW11,J,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW12,K,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW13,L,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW54,Left,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW14,M,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW15,N,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW61,NMI,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW16,O,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW17,P,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW18,Q,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW19,R,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW62,RESET,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW55,Right,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
