Reference, Value, Footprint, Datasheet
C1,100n,Capacitor_SMD:C_0805_2012Metric,~
C2,100n,Capacitor_SMD:C_0805_2012Metric,~
C3,100n,Capacitor_SMD:C_0805_2012Metric,~
C4,100n,Capacitor_SMD:C_0805_2012Metric,~
C6,100n,Capacitor_SMD:C_0805_2012Metric,~
C14,100n,Capacitor_SMD:C_0805_2012Metric,~
C8,100n,Capacitor_SMD:C_0805_2012Metric,~
C5,470uF,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,~
C9,470uF,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,~
SW1,IN,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,~
SW2,OUT,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,~
SW3,READ,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,~
SW4,WRITE,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,~
J3,Conn_02x04_Odd_Even,Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical,~
J4,Conn_02x04_Odd_Even,Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical,~
J1,TRS80W-header,Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical,
J2,TRS80W-header,Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical,
D9,A0,LED_THT:LED_D3.0mm_FlatTop,~
D16,A1,LED_THT:LED_D3.0mm_FlatTop,~
D18,A10,LED_THT:LED_D3.0mm_FlatTop,~
D23,A11,LED_THT:LED_D3.0mm_FlatTop,~
D19,A12,LED_THT:LED_D3.0mm_FlatTop,~
D22,A13,LED_THT:LED_D3.0mm_FlatTop,~
D20,A14,LED_THT:LED_D3.0mm_FlatTop,~
D21,A15,LED_THT:LED_D3.0mm_FlatTop,~
D10,A2,LED_THT:LED_D3.0mm_FlatTop,~
D15,A3,LED_THT:LED_D3.0mm_FlatTop,~
D11,A4,LED_THT:LED_D3.0mm_FlatTop,~
D14,A5,LED_THT:LED_D3.0mm_FlatTop,~
D12,A6,LED_THT:LED_D3.0mm_FlatTop,~
D13,A7,LED_THT:LED_D3.0mm_FlatTop,~
D17,A8,LED_THT:LED_D3.0mm_FlatTop,~
D24,A9,LED_THT:LED_D3.0mm_FlatTop,~
D1,D0,LED_THT:LED_D3.0mm_FlatTop,~
D8,D1,LED_THT:LED_D3.0mm_FlatTop,~
D2,D2,LED_THT:LED_D3.0mm_FlatTop,~
D7,D3,LED_THT:LED_D3.0mm_FlatTop,~
D3,D4,LED_THT:LED_D3.0mm_FlatTop,~
D6,D5,LED_THT:LED_D3.0mm_FlatTop,~
D4,D6,LED_THT:LED_D3.0mm_FlatTop,~
D5,D7,LED_THT:LED_D3.0mm_FlatTop,~
D25,IN,LED_THT:LED_D3.0mm_FlatTop,~
D26,OUT,LED_THT:LED_D3.0mm_FlatTop,~
D27,READ,LED_THT:LED_D3.0mm_FlatTop,~
D28,WRITE,LED_THT:LED_D3.0mm_FlatTop,~
H1,MountingHole,MountingHole:MountingHole_3.2mm_M3_DIN965,~
H2,MountingHole,MountingHole:MountingHole_3.2mm_M3_DIN965,~
H3,MountingHole,MountingHole:MountingHole_3.2mm_M3_DIN965,~
H4,MountingHole,MountingHole:MountingHole_3.2mm_M3_DIN965,~
U2,74LS20,Package_DIP:DIP-14_W7.62mm_Socket,http://www.ti.com/lit/gpn/sn74LS20
U1,74LS32,Package_DIP:DIP-14_W7.62mm_Socket,http://www.ti.com/lit/gpn/sn74LS32
U4,74LS374,Package_DIP:DIP-20_W7.62mm_Socket,http://www.ti.com/lit/gpn/sn74LS374
U5,74LS374,Package_DIP:DIP-20_W7.62mm_Socket,http://www.ti.com/lit/gpn/sn74LS374
U3,74LS374,Package_DIP:DIP-20_W7.62mm_Socket,http://www.ti.com/lit/gpn/sn74LS374
R5,470,Resistor_SMD:R_0805_2012Metric,~
R6,470,Resistor_SMD:R_0805_2012Metric,~
R7,470,Resistor_SMD:R_0805_2012Metric,~
R8,470,Resistor_SMD:R_0805_2012Metric,~
R1,4.7K,Resistor_SMD:R_0805_2012Metric,~
R2,4.7K,Resistor_SMD:R_0805_2012Metric,~
R3,4.7K,Resistor_SMD:R_0805_2012Metric,~
R4,4.7K,Resistor_SMD:R_0805_2012Metric,~
RN1,470,Resistor_THT:R_Array_SIP9,http://www.vishay.com/docs/31509/csc.pdf
RN2,470,Resistor_THT:R_Array_SIP9,http://www.vishay.com/docs/31509/csc.pdf
RN3,470,Resistor_THT:R_Array_SIP9,http://www.vishay.com/docs/31509/csc.pdf
