Reference, Value, Footprint, Datasheet
"U22","ATF22V10C","Package_DIP:DIP-24_W7.62mm_Socket",""
"C1","470uF","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~"
"C3","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C2","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C4","470uF","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~"
"J1","Conn_02x04_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","~"
"J4","Conn_02x04_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","~"
"M4","3mm-mounting-hole","MountingHole:MountingHole_3.2mm_M3_DIN965",""
"M3","3mm-mounting-hole","MountingHole:MountingHole_3.2mm_M3_DIN965",""
"M2","3mm-mounting-hole","MountingHole:MountingHole_3.2mm_M3_DIN965",""
"M1","3mm-mounting-hole","MountingHole:MountingHole_3.2mm_M3_DIN965",""
"J3","TRS80W-header","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical",""
"C16","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C29","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C17","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C18","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C19","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C21","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C22","100n","Capacitor_SMD:C_0805_2012Metric","~"
"U2","YAC512-M-OPL3","Package_SO:SOIC-16W_5.3x10.2mm_P1.27mm",""
"U1","YMF262-M-OPL3","Package_SO:SOIC-24W_7.5x15.4mm_P1.27mm",""
"U9","YM2413","Package_DIP:DIP-18_W7.62mm_Socket",""
"U10","YM2612","Package_DIP:DIP-24_W15.24mm_Socket",""
"U5","AD7302","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm",""
"U6","74LS125","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS125"
"U3","74LS273","Package_SO:SO-20_5.3x12.6mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS273"
"U7","SN76489","Package_DIP:DIP-16_W7.62mm_Socket",""
"U8","74LS00","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/gpn/sn74ls00"
"Q1","BSS138","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BSS138-D.PDF"
"R1","100","Resistor_SMD:R_0805_2012Metric","~"
"Q2","BSS138","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BSS138-D.PDF"
"R3","100","Resistor_SMD:R_0805_2012Metric","~"
"R4","10K","Resistor_SMD:R_0805_2012Metric","~"
"R2","10K","Resistor_SMD:R_0805_2012Metric","~"
"R6","10K","Resistor_SMD:R_0805_2012Metric","~"
"U12","LTC6903","Package_SO:MSOP-8_3x3mm_P0.65mm",""
"U13","LTC6903","Package_SO:MSOP-8_3x3mm_P0.65mm",""
"U14","LTC6903","Package_SO:MSOP-8_3x3mm_P0.65mm",""
