Reference, Value, Footprint, Datasheet
"U6","ATF22V10C","Package_DIP:DIP-24_W7.62mm_Socket",""
"C20","470uF","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~"
"C22","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C21","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C23","470uF","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~"
"J2","Conn_02x04_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","~"
"J1","Conn_02x04_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","~"
"M4","3mm-mounting-hole","MountingHole:MountingHole_3.2mm_M3_DIN965",""
"M3","3mm-mounting-hole","MountingHole:MountingHole_3.2mm_M3_DIN965",""
"M2","3mm-mounting-hole","MountingHole:MountingHole_3.2mm_M3_DIN965",""
"M1","3mm-mounting-hole","MountingHole:MountingHole_3.2mm_M3_DIN965",""
"C1","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C19","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C2","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C3","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C4","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C5","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C6","100n","Capacitor_SMD:C_0805_2012Metric","~"
"U9","MC68B45","Package_DIP:DIP-40_W15.24mm_Socket","http://www.ti.com/lit/gpn/sn74ls02"
"U8","SCREENMEM","Package_DIP:DIP-48_W15.24mm_Socket","http://www.ti.com/lit/gpn/sn74ls02"
"U15","CHARROM","Package_DIP:DIP-48_W15.24mm_Socket","http://www.ti.com/lit/gpn/sn74ls02"
"U13","74LS374","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS374"
"U2","74LS02","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/gpn/sn74ls02"
"U1","74LS02","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/gpn/sn74ls02"
"R2","10K","Resistor_SMD:R_0805_2012Metric","~"
"R10","10K","Resistor_SMD:R_0805_2012Metric","~"
"U5","74LS74","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","74xx/74hc_hct74.pdf"
"U3","74LS74","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","74xx/74hc_hct74.pdf"
"U7","74LS374","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS374"
"R4","10K","Resistor_SMD:R_0805_2012Metric","~"
